alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,79147,17461,78,79147,44491,44,79147,34453,56,79147,65251,18,79147,18461,77,79147,47321,40,79147,8005,90,79147,57697,27,79147,29537,63,79147,57368,28,79147,4292,95,79147,6654,92,79147,7145,91,79147,43801,45,79147,6207,92
0.0,79147,49372,38,79147,31853,60,79147,998,99,79147,28157,64,79147,9590,88,79147,36403,54,79147,15524,80,79147,54655,31,79147,36691,54,79147,45055,43,79147,1021,99,79147,9363,88,79147,1448,98,79147,18571,77,79147,819,99
0.0,79147,25375,68,79147,52010,34,79147,11862,85,79147,35770,55,79147,619,99,79147,66683,16,79147,18924,76,79147,48485,39,79147,38761,51,79147,41821,47,79147,2796,96,79147,4915,94,79147,3421,96,79147,12284,84,79147,2629,97
0.0,79147,33373,58,79147,60584,23,79147,4747,94,79147,25942,67,79147,12853,84,79147,40109,49,79147,53536,32,79147,27250,66,79147,46283,42,79147,29590,63,79147,1497,98,79147,14495,82,79147,2388,97,79147,2346,97,79147,1066,99
0.0,79147,10325,87,79147,26914,66,79147,20277,74,79147,27249,66,79147,37422,53,79147,45784,42,79147,3802,95,79147,61206,23,79147,72355,9,79147,46296,42,79147,5822,93,79147,13872,82,79147,4796,94,79147,17222,78,79147,3681,95
0.0,79147,17082,78,79147,40691,49,79147,14677,81,79147,46544,41,79147,43908,45,79147,34284,57,79147,17511,78,79147,57363,28,79147,34018,57,79147,42498,46,79147,338,100,79147,908,99,79147,1895,98,79147,32674,59,79147,136,100
0.0,79147,33316,58,79147,32862,58,79147,10809,86,79147,38402,51,79147,11106,86,79147,41688,47,79147,12870,84,79147,69387,12,79147,48785,38,79147,31883,60,79147,3496,96,79147,2398,97,79147,3219,96,79147,28642,64,79147,2755,97
0.0,75461,34653,54,75461,24199,68,75461,31826,58,75461,47853,37,75461,11744,84,75461,51508,32,75461,1865,98,75461,49065,35,75461,32420,57,75461,26505,65,75461,2561,97,75461,1538,98,75461,2182,97,75461,26033,66,75461,1949,97
0.0,79147,17404,78,79147,64486,19,79147,18722,76,79147,59620,25,79147,36169,54,79147,34372,57,79147,29740,62,79147,46870,41,79147,36084,54,79147,34670,56,79147,3899,95,79147,2124,97,79147,5138,94,79147,39245,50,79147,2066,97
0.5,79147,35625,55,79147,55232,30,79147,43555,45,79147,44585,44,79147,37128,53,79147,35990,55,79147,20346,74,79147,52228,34,79147,39416,50,79147,54420,31,79147,362,100,79147,19066,76,79147,1565,98,79147,30234,62,79147,640,99
0.5,79147,6251,92,79147,42609,46,79147,24565,69,79147,48794,38,79147,29383,63,79147,55299,30,79147,31146,61,79147,37048,53,79147,42692,46,79147,45435,43,79147,816,99,79147,25696,68,79147,2965,96,79147,28751,64,79147,1800,98
0.5,79147,42383,46,79147,38253,52,79147,21272,73,79147,68831,13,79147,21610,73,79147,45132,43,79147,17036,78,79147,60289,24,79147,25488,68,79147,40555,49,79147,1645,98,79147,14463,82,79147,781,99,79147,56963,28,79147,4816,94
0.5,79147,32607,59,79147,62285,21,79147,18974,76,79147,40141,49,79147,24780,69,79147,63264,20,79147,31076,61,79147,61562,22,79147,37137,53,79147,51570,35,79147,1046,99,79147,18824,76,79147,1724,98,79147,32752,59,79147,419,99
0.5,79147,30581,61,79147,41973,47,79147,17277,78,79147,36648,54,79147,45658,42,79147,57782,27,79147,36529,54,79147,55731,30,79147,46468,41,79147,47217,40,79147,1121,99,79147,27515,65,79147,3009,96,79147,25134,68,79147,1131,99
0.5,79147,15495,80,79147,59970,24,79147,40646,49,79147,37890,52,79147,51624,35,79147,68199,14,79147,26350,67,79147,20532,74,79147,35455,55,79147,66070,17,79147,2049,97,79147,39576,50,79147,2565,97,79147,9800,88,79147,5011,94
0.5,79147,33170,58,79147,48731,38,79147,42175,47,79147,51965,34,79147,30848,61,79147,56369,29,79147,12315,84,79147,57682,27,79147,51575,35,79147,52894,33,79147,687,99,79147,24103,70,79147,3418,96,79147,42402,46,79147,1106,99
0.5,79147,35845,55,79147,33769,57,79147,12170,85,79147,68251,14,79147,52687,33,79147,39665,50,79147,38613,51,79147,67159,15,79147,32621,59,79147,48518,39,79147,1383,98,79147,16591,79,79147,2098,97,79147,56263,29,79147,1622,98
0.5,79147,9476,88,79147,45841,42,79147,34546,56,79147,60268,24,79147,47454,40,79147,55850,29,79147,27623,65,79147,58782,26,79147,51465,35,79147,62804,21,79147,971,99,79147,22030,72,79147,1829,98,79147,42598,46,79147,299,100
0.5,79147,14599,82,79147,57908,27,79147,19741,75,79147,42193,47,79147,51563,35,79147,50591,36,79147,28372,64,79147,32983,58,79147,36683,54,79147,70625,11,79147,876,99,79147,35183,56,79147,1721,98,79147,23761,70,79147,961,99
0.5,74233,28502,62,74233,46658,37,74233,18710,75,74233,53225,28,74233,49755,33,74233,43518,41,74233,30365,59,74233,52718,29,74233,30924,58,74233,46360,38,74233,231,100,74233,16313,78,74233,1377,98,74233,41924,44,74233,2133,97
0.5,79147,28849,64,79147,50537,36,79147,35953,55,79147,27111,66,79147,33939,57,79147,43538,45,79147,31935,60,79147,76327,4,79147,36110,54,79147,75652,4,79147,1669,98,79147,52703,33,79147,1977,98,79147,24290,69,79147,850,99
0.5,79147,22020,72,79147,52281,34,79147,36075,54,79147,62449,21,79147,38194,52,79147,64020,19,79147,20547,74,79147,38131,52,79147,56335,29,79147,48075,39,79147,1251,98,79147,26677,66,79147,268,100,79147,30671,61,79147,5500,93
0.5,79147,55983,29,79147,55082,30,79147,43950,44,79147,41627,47,79147,18852,76,79147,66125,16,79147,28787,64,79147,49434,38,79147,33666,57,79147,73021,8,79147,3165,96,79147,35934,55,79147,1565,98,79147,29206,63,79147,1703,98
