alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,79147,10200,87,79147,44897,43,79147,3376,96,79147,51543,35,79147,46229,42,79147,69825,12,79147,33676,57,79147,67367,15,79147,49545,37,79147,68002,14,79147,2429,97,79147,46134,42,79147,2164,97,79147,50160,37,79147,20137,75
0.0,62612,31818,49,62612,5797,91,62612,3328,95,62612,35090,44,62612,33417,47,62612,46521,26,62612,46611,26,62612,53015,15,62612,47228,25,62612,52228,17,62612,3128,95,62612,8501,86,62612,4320,93,62612,34723,45,62612,6349,90
0.0,79147,36712,54,79147,41545,48,79147,16700,79,79147,57124,28,79147,66621,16,79147,60851,23,79147,62326,21,79147,63451,20,79147,63363,20,79147,54493,31,79147,17650,78,79147,30371,62,79147,12173,85,79147,53330,33,79147,17625,78
0.0,79147,24229,69,79147,25796,67,79147,29341,63,79147,56900,28,79147,55609,30,79147,55522,30,79147,38519,51,79147,67510,15,79147,47004,41,79147,67861,14,79147,2054,97,79147,21372,73,79147,8924,89,79147,54641,31,79147,4780,94
0.0,64986,13268,80,64986,10559,84,64986,28994,55,64986,53715,17,64986,45164,31,64986,58394,10,64986,35974,45,64986,52127,20,64986,48459,25,64986,63391,2,64986,3641,94,64986,12553,81,64986,9300,86,64986,48771,25,64986,8617,87
0.0,79147,11972,85,79147,48128,39,79147,9314,88,79147,66512,16,79147,54447,31,79147,61664,22,79147,55152,30,79147,65897,17,79147,57451,27,79147,60537,24,79147,7372,91,79147,30662,61,79147,6470,92,79147,53262,33,79147,22446,72
0.0,79147,27052,66,79147,29308,63,79147,2234,97,79147,57330,28,79147,43262,45,79147,71021,10,79147,48907,38,79147,60739,23,79147,65481,17,79147,60211,24,79147,9794,88,79147,23291,71,79147,1865,98,79147,41646,47,79147,5886,93
0.0,53911,17614,67,53911,32750,39,53911,10555,80,53911,36624,32,53911,43117,20,53911,42464,21,53911,30455,44,53911,44213,18,53911,36299,33,53911,53911,0,53911,7101,87,53911,21938,59,53911,13269,75,53911,37758,30,53911,8481,84
0.0,67522,3538,95,67522,17838,74,67522,9062,87,67522,58185,14,67522,47838,29,67522,49823,26,67522,29135,57,67522,59788,11,67522,38254,43,67522,57771,14,67522,963,99,67522,15942,76,67522,634,99,67522,55027,19,67522,3447,95
0.5,79147,36209,54,79147,60730,23,79147,8304,90,79147,56476,29,79147,41399,48,79147,58629,26,79147,37843,52,79147,62840,21,79147,45812,42,79147,43048,46,79147,2700,97,79147,21405,73,79147,4193,95,79147,43085,46,79147,162,100
0.5,79147,20172,75,79147,47754,40,79147,24702,69,79147,49383,38,79147,36172,54,79147,66205,16,79147,39619,50,79147,33611,58,79147,46513,41,79147,59732,25,79147,25,100,79147,27359,65,79147,2337,97,79147,19937,75,79147,1005,99
0.5,79147,40419,49,79147,52756,33,79147,34327,57,79147,61002,23,79147,27813,65,79147,57168,28,79147,20270,74,79147,44539,44,79147,32911,58,79147,56494,29,79147,802,99,79147,28000,65,79147,2197,97,79147,41213,48,79147,958,99
0.5,58820,21306,64,58820,27618,53,58820,23546,60,58820,44373,25,58820,27242,54,58820,36770,37,58820,20488,65,58820,44528,24,58820,34750,41,58820,46304,21,58820,3447,94,58820,18761,68,58820,2402,96,58820,32484,45,58820,339,99
0.5,79147,39667,50,79147,29899,62,79147,5944,92,79147,54108,32,79147,24231,69,79147,53253,33,79147,23216,71,79147,49762,37,79147,35867,55,79147,60196,24,79147,1290,98,79147,27604,65,79147,2204,97,79147,44963,43,79147,1332,98
0.5,79147,46756,41,79147,58617,26,79147,19945,75,79147,53257,33,79147,35288,55,79147,45637,42,79147,40428,49,79147,62770,21,79147,32199,59,79147,46565,41,79147,552,99,79147,14778,81,79147,1043,99,79147,48782,38,79147,721,99
0.5,79147,31780,60,79147,56387,29,79147,36095,54,79147,47980,39,79147,15679,80,79147,53885,32,79147,28526,64,79147,32592,59,79147,70471,11,79147,57955,27,79147,1270,98,79147,17907,77,79147,2773,96,79147,16390,79,79147,1866,98
0.5,79147,54843,31,79147,50574,36,79147,5863,93,79147,54265,31,79147,6393,92,79147,48440,39,79147,63632,20,79147,55799,29,79147,59494,25,79147,62390,21,79147,2286,97,79147,30753,61,79147,2824,96,79147,39152,51,79147,135,100
0.5,53911,46940,13,53911,33593,38,53911,21559,60,53911,29073,46,53911,25518,53,53911,42009,22,53911,17847,67,53911,29775,45,53911,29585,45,53911,39089,27,53911,2521,95,53911,26686,50,53911,2290,96,53911,11928,78,53911,1878,97
0.5,79147,28010,65,79147,62231,21,79147,4170,95,79147,51588,35,79147,42555,46,79147,45478,43,79147,50894,36,79147,47843,40,79147,33653,57,79147,66643,16,79147,1512,98,79147,35935,55,79147,1722,98,79147,30603,61,79147,3279,96
0.5,79147,31791,60,79147,43260,45,79147,28960,63,79147,59502,25,79147,39268,50,79147,50126,37,79147,38047,52,79147,61069,23,79147,47014,41,79147,64790,18,79147,1184,99,79147,22395,72,79147,2460,97,79147,55105,30,79147,1356,98
0.5,79147,39406,50,79147,47994,39,79147,20836,74,79147,60199,24,79147,36715,54,79147,64734,18,79147,30604,61,79147,56291,29,79147,26186,67,79147,68538,13,79147,1782,98,79147,25974,67,79147,3009,96,79147,48125,39,79147,343,100
