,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node
16778,16778,5,50,600,1.0,459,d894fd1af131ed7a296716b5,0,0232ef0211566a7bee1e6b8480f72c35,MISC,4,345.0,504.0,504.0,7914.727272727273,995.821870701513,1,298350,0,0,-1,"[50, 600]",
16793,16793,5,50,600,1.0,633,d894fd1af131ed7a296716b5,0,b8ba66f93593b46dcd0923b72090d2de,MISC,7,345.0,709.0,708.0,7914.727272727273,995.821870701513,1,411450,0,0,-1,"[50, 600]",
16879,16879,5,50,600,1.0,230,d894fd1af131ed7a296716b5,0,30576de6dcd01d17e50cdc147f6502d1,MISC,7,345.0,247.0,246.5,7914.727272727273,995.821870701513,1,149500,0,0,-1,"[50, 600]",
17112,17112,5,50,600,1.0,1130,d894fd1af131ed7a296716b5,0,8bbd5496d2d2e1ddc89f19262b6289d4,MISC,42,345.0,1045.0,1045.0,7914.727272727273,995.821870701513,1,734500,0,0,-1,"[50, 600]",
17113,17113,5,50,600,1.0,1114,d894fd1af131ed7a296716b5,0,0f70f9f281e34998c92bc9459051d388,MISC,40,345.0,807.5,807.5,7914.727272727273,995.821870701513,1,724100,0,0,-1,"[50, 600]",
17225,17225,5,50,600,1.0,419,d894fd1af131ed7a296716b5,0,0c3e696df14c7d89cf20a9f46d7010f6,MISC,43,345.0,369.0,370.0,7914.727272727273,995.821870701513,1,272350,0,0,-1,"[50, 600]",
17239,17239,5,50,600,1.0,1052,d894fd1af131ed7a296716b5,0,0bb56ae843de5e0349c763211efc0afd,MISC,47,345.0,876.0,876.0,7914.727272727273,995.821870701513,1,683800,0,0,-1,"[50, 600]",
17246,17246,5,50,600,1.0,1871,d894fd1af131ed7a296716b5,0,bb834b85f083af5ae0212c2b76a0ce8a,MISC,47,345.0,1870.0,1871.0,7914.727272727273,995.821870701513,1,1216150,0,0,-1,"[50, 600]",
17340,17340,24,100,1200,1.0,57,cab3e842ff37031c2792a850,0,b67efe86fdda4323f752ecab061fbd93,MISC,5,94.0,48.0,65.0,7280.055555555555,1080.6666666666667,1,74100,0,0,-1,"[100, 1200]",
17954,17954,2,1000,12000,20.0,815,1ccc18d7d13073b642b3a016,0,ec5e4207d45bec71b851648e9def75aa,T4,3,386.0,832.0,832.0,3003.4444444444453,945.6428571428572,1,10595000,0,0,-1,"[1000, 12000]",
18057,18057,2,50,600,1.0,194,1ccc18d7d13073b642b3a016,0,9c3883e09c0d78ddc09972c5b7849141,T4,2,386.0,225.0,225.0,3003.4444444444453,945.6428571428572,1,126100,0,0,-1,"[50, 600]",
18079,18079,2,50,600,1.0,376,1ccc18d7d13073b642b3a016,0,8bedfe70990a2ab5bf0404d48091c731,T4,3,386.0,386.0,386.0,3003.4444444444453,945.6428571428572,1,244400,0,0,-1,"[50, 600]",
18088,18088,2,50,600,1.0,387,1ccc18d7d13073b642b3a016,0,40a468c7704f0ffb43a01d20812c84ec,T4,3,386.0,386.0,386.0,3003.4444444444453,945.6428571428572,1,251550,0,0,-1,"[50, 600]",
