count,num_cpu,num_gpu,bandwidth_avg,bandwidth_min,bandwidth_max,bandwidth_median,duration_avg,duration_min,duration_max,duration_median
13,300.0,200.0,3825.6689017688423,3809.090656654808,4024.6078431372553,3809.090656654808,657.3076923076923,437,1086,626.0
102,1000.0,200.0,6580.8169125197155,6364.689130434783,10395.307692307691,6364.689130434783,7350.5,5085,16248,6212.0
20,2000.0,1000.0,90748.6456774353,5467.258064516129,107451.40909090907,95370.16809006211,955.05,224,2826,665.0
77,1000.0,500.0,23669.891877345184,5188.429075667328,107451.40909090907,5188.429075667328,4002.5064935064934,306,38977,3503.0
61,9000.0,500.0,5848.606911863394,2400.6585365853657,15418.829268292684,6364.689130434783,13594.754098360656,61,57654,3174.0
37,14400.0,800.0,6328.237111331415,0.0,15418.829268292684,6364.689130434783,7332.324324324324,115,44871,577.0
42,1600.0,200.0,3858.0547184077386,2225.589285714286,9201.6,3809.090656654808,15533.404761904761,59,37507,22524.5
89,18000.0,1000.0,5060.015924633952,1319.6654097958444,10395.307692307691,5275.162420382166,3516.505617977528,33,26764,1417.0
89,1000.0,100.0,13553.91573273157,2723.386875612145,54948.08823529412,6394.756990820136,1474.808988764045,6,20558,142.0
25,3600.0,600.0,7468.122727272728,7468.122727272727,7468.122727272727,7468.122727272727,15106.36,7772,57961,13408.0
21,6600.0,275.0,2973.6904484496335,2691.0274864989224,3003.4444444444453,3003.4444444444453,2436.4285714285716,904,6944,1990.0
2,35400.0,1475.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,10970.5,10929,11012,10970.5
24,25.0,500.0,17787.415470397405,17494.733333333334,24519.10462287105,17494.733333333334,6162.083333333333,2722,12607,5014.0
128,7200.0,400.0,4598.512659899994,2400.6585365853657,26627.85714285713,3809.090656654808,7025.4609375,28,51367,1369.5
64,1800.0,300.0,4987.500144436141,2447.736021300875,33035.11136846169,2724.4435767195764,689.59375,44,28954,131.5
134,2000.0,100.0,8006.719968349704,4915.651162790698,33295.731138545954,5275.162420382166,12036.873134328358,280,98249,1915.5
72,10000.0,1000.0,3531.7967488164336,497.76153091265945,10395.307692307691,3323.627866962828,13174.25,48,71547,1618.0
58,6400.0,400.0,3093.3491650634355,2447.736021300875,3809.090656654808,2724.4435767195764,11503.051724137931,2000,30735,10467.5
35,300.0,600.0,3474.6821737931036,2573.2336,3848.36,3631.2413793103447,9555.885714285714,77,125486,120.0
10,24600.0,1025.0,3730.273207697976,3003.4444444444453,4214.825716533663,4214.825716533663,5724.3,1943,13330,6658.0
12,14400.0,600.0,3296.3479922229926,2773.3468468468463,6748.384615384615,3003.4444444444453,12317.5,1311,45313,8067.5
13,800.0,200.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,562.3846153846154,539,614,556.0
111,9600.0,400.0,3854.3251977441273,1975.2819939932187,29851.80607814761,2724.4435767195764,17935.117117117115,164,90307,7417.0
67,2000.0,2000.0,6125.957312420671,2771.272966048553,6652.039251650769,6652.039251650769,1211.1044776119404,46,14426,183.0
48,20000.0,5000.0,4214.047514719207,589.6006077529566,5275.162420382166,5226.847594637224,44153.375,50,309833,1015.0
36,400.0,50.0,4478.622685185184,3003.4444444444453,7428.979166666666,3003.4444444444453,337.52777777777777,69,1973,272.5
80,12000.0,400.0,2801.862854882169,1277.7585724282717,5275.162420382166,2691.0274864989224,9988.1625,603,69128,4907.5
78,40000.0,5000.0,5500.793866935862,4915.651162790698,10395.307692307691,5275.162420382166,10988.564102564103,244,59116,9460.0
83,18000.0,3000.0,4869.723404327676,2447.736021300875,10395.307692307691,4785.891705069124,5876.44578313253,69,143248,1145.0
11,12000.0,800.0,6780.055772631258,6364.689130434783,10395.307692307691,6364.689130434783,5753.545454545455,797,10520,5503.0
85,500.0,500.0,4675.087391408519,2771.272966048553,4785.891705069124,4785.891705069124,1307.5764705882352,107,23123,720.0
55,24000.0,500.0,4176.182993682066,3671.363636363637,5296.242821999982,3987.3481058112393,2454.0,559,13908,1325.0
679,1600.0,100.0,14947.177815618319,521.0711054512835,22699.690991240204,12278.47034781551,4525.435935198821,68,86144,744.0
32,2400.0,400.0,3660.9770084233664,1277.7585724282717,7423.285714285716,2724.4435767195764,2311.6875,56,23574,192.5
34,1600.0,400.0,5341.949377070841,2150.7004608294933,9201.6,5131.340958605664,6242.764705882353,70,48530,1257.0
25,12000.0,250.0,5230.06108113045,5188.429075667328,5275.162420382166,5188.429075667328,4366.24,337,11544,5568.0
149,3000.0,125.0,3249.670170081649,1381.9339321400644,6364.689130434783,2691.0274864989224,5145.5100671140935,48,24896,2055.0
12,1200.0,600.0,107451.4090909091,107451.40909090907,107451.40909090907,107451.40909090907,2054.1666666666665,915,3312,2140.0
47,4000.0,125.0,2658.40675625298,1798.0895522388062,2872.061334769974,2872.061334769974,4437.978723404255,984,11824,4022.0
46,9000.0,1500.0,3137.328182531815,1439.3311258278147,7423.285714285716,2724.4435767195764,4020.8695652173915,175,58173,2770.5
150,4000.0,500.0,9794.409684773456,2691.0274864989224,62509.13506922593,6364.689130434783,7495.746666666667,199,105580,1248.0
60,200.0,100.0,5243.623720845306,207.72371927686785,17087.18055555556,3758.1236303123396,2389.8333333333335,42,26803,193.0
49,200.0,25.0,2691.0274864989224,2691.0274864989224,2691.0274864989224,2691.0274864989224,110.10204081632654,50,237,103.0
12,16000.0,8000.0,5204.940794128758,4915.651162790698,5275.162420382166,5226.847594637224,701.1666666666666,402,2751,488.5
214,800.0,50.0,10506.472074787587,10008.606516290729,13052.698788242951,10008.606516290729,234.53271028037383,44,2507,91.0
205,1200.0,100.0,7931.511205029184,0.0,24338.090583637542,7280.055555555555,4144.985365853659,34,51380,349.0
95,30000.0,2500.0,5360.528082084699,985.9982728842832,15053.125,5275.162420382166,2047.6736842105263,354,10175,1377.0
72,4000.0,250.0,3310.782406353348,2691.0274864989224,6633.896381578948,2691.0274864989224,1710.486111111111,295,9077,1477.5
49,1000.0,250.0,4466.615643993437,1309.6846153846152,6364.689130434783,5188.429075667328,13231.57142857143,141,35764,6669.0
12,15000.0,750.0,5188.429075667328,5188.429075667328,5188.429075667328,5188.429075667328,15016.0,7952,42888,12284.0
23,25600.0,800.0,10008.606516290725,10008.606516290729,10008.606516290729,10008.606516290729,9946.739130434782,2649,20651,10372.0
9,38400.0,400.0,6732.520833333334,6732.520833333334,6732.520833333334,6732.520833333334,14168.666666666666,11867,17985,14304.0
12,24000.0,200.0,4576.53125,4576.53125,4576.53125,4576.53125,3165.4166666666665,2406,4849,2680.0
18,12000.0,100.0,3965.699919871795,2377.538461538461,4576.53125,4576.53125,5118.111111111111,89,13399,2678.5
24,2400.0,20.0,4576.53125,4576.53125,4576.53125,4576.53125,1199.0,590,2090,1152.0
32,40000.0,2500.0,5445.83502415451,1845.0427350427344,9738.765763936628,5275.162420382166,19593.34375,4835,113603,7289.5
83,60000.0,2500.0,5131.645209989616,459.3153638814016,26197.76129032258,4785.891705069124,17606.530120481926,60,128729,1564.0
333,2400.0,100.0,3183.6819277379723,287.5336322869955,7374.840961098398,3003.4444444444453,7817.396396396396,112,85443,2476.0
12,1600.0,500.0,3808.414169268939,2723.386875612145,4024.6078431372553,3809.090656654808,11455.666666666666,5579,40992,8900.0
35,600.0,500.0,2576.2197623255647,1429.082191780822,5275.162420382166,1429.082191780822,17216.685714285715,994,65803,3832.0
32,10000.0,500.0,4327.995437175245,2520.754789272031,5296.242821999982,5188.429075667328,9644.3125,1526,32134,2687.0
58,8000.0,2000.0,4015.2990124302637,2691.0274864989224,5275.162420382166,3987.3481058112393,498.44827586206895,61,2044,186.5
45,15000.0,2500.0,5727.073582478581,1845.0427350427344,10395.307692307691,6238.074074074074,7536.266666666666,66,40629,280.0
132,1200.0,50.0,3273.9936132050793,497.76153091265945,7468.122727272727,2724.4435767195764,2021.689393939394,38,11550,166.0
80,18000.0,1500.0,4743.902837501405,1975.2819939932187,7468.122727272727,4785.891705069124,11181.375,65,123616,2432.0
147,9000.0,375.0,2709.680894418003,1396.6417333955935,15053.125,1975.2819939932187,8277.925170068027,56,62095,4095.0
75,30000.0,5000.0,17861.517656944223,985.9982728842832,33295.731138545954,23828.197370011392,11038.173333333334,42,173267,6188.0
23,60000.0,10000.0,17862.25050896323,4915.651162790698,33295.731138545954,23828.197370011392,10867.826086956522,1779,62993,10119.0
41,9000.0,750.0,2922.163207147609,1975.2819939932187,5188.429075667328,2724.4435767195764,10421.292682926829,4782,38994,6391.0
601,20.0,5.0,7914.727272727273,7914.727272727273,7914.727272727273,7914.727272727273,19420.542429284527,2572,53342,20071.0
56,1800.0,75.0,2721.459997235589,2691.0274864989224,2724.4435767195764,2724.4435767195764,10166.32142857143,389,30876,7924.5
24,8000.0,250.0,2669.41826536366,0.0,2872.061334769974,2781.5444106344485,17646.541666666668,6718,29756,18273.0
11,5.0,100.0,17494.733333333334,17494.733333333334,17494.733333333334,17494.733333333334,3799.4545454545455,1774,10543,2402.0
12,36000.0,6000.0,30277.477928823533,27259.224719101123,33295.731138545954,30277.477928823537,19170.166666666668,12298,24745,20134.5
162,8000.0,1000.0,6209.1607797538,0.0,10852.666666666666,6238.074074074074,6007.080246913581,49,61528,934.0
52,32000.0,4000.0,10482.383813533803,0.0,29137.58006574373,6238.074074074074,28340.76923076923,282,54155,33681.5
915,6000.0,500.0,3058.6846025365307,883.190561169057,7468.122727272727,3003.4444444444453,3981.216393442623,31,43986,425.0
852,800.0,1600.0,2890.5453660892904,1801.0692599620495,3003.4444444444453,3003.4444444444453,1741.5469483568074,68,17013,864.0
20,10000.0,1250.0,2700.7836892901882,2691.0274864989224,2886.1515423242467,2691.0274864989224,29705.15,19144,38254,31004.5
10,3000.0,750.0,5188.429075667328,5188.429075667328,5188.429075667328,5188.429075667328,18388.9,10405,36982,17153.0
39,3000.0,200.0,3331.558066647254,3305.6188430885813,3642.828749351324,3305.6188430885813,21622.79487179487,1216,71488,6433.0
13,5200.0,200.0,6716.153212293339,6364.689130434783,10395.307692307691,6364.689130434783,1451.3846153846155,172,7262,380.0
13,7800.0,300.0,3409.375737323271,3305.6188430885813,3642.828749351324,3305.6188430885813,12931.538461538461,6685,18432,13440.0
40,20000.0,2000.0,5870.928466010027,1125.4134384479194,10395.307692307691,6364.689130434783,3319.775,74,21058,207.5
20,20000.0,1000.0,6485.832393449657,6364.689130434783,6633.896381578948,6364.689130434783,23196.55,7032,38578,25608.5
18,4000.0,50.0,2024.3278811308894,1975.2819939932187,2416.6949782322567,1975.2819939932187,7852.111111111111,2053,30402,9704.5
12,100.0,300.0,3628.140026481031,2723.386875612145,3809.090656654808,3809.090656654808,1807.3333333333333,220,17818,346.5
16,60000.0,2000.0,1153.8791297206785,0.0,2155.8349514563106,1509.7878787878788,10457.0,2886,35143,9692.0
22,4000.0,100.0,1732.0738242133725,1084.8936668616334,3089.814285714285,1975.2819939932187,11302.772727272728,1952,96828,5460.5
46,9600.0,800.0,1565.7533758414704,542.8506097560977,2416.6949782322567,1801.0692599620495,18916.32608695652,4895,40819,13293.5
45,4800.0,800.0,8542.12062446253,569.3857935627083,24519.10462287105,9512.584928631968,19426.51111111111,149,87719,13324.0
74,400.0,400.0,4481.361466421118,2872.061334769974,6719.010037878788,3987.3481058112393,5886.540540540541,87,44254,2270.5
36,40000.0,2000.0,5253.84749424528,4915.651162790698,5275.162420382166,5275.162420382166,832.5277777777778,265,2081,637.0
12,32000.0,2000.0,5255.031242988439,5226.847594637224,5275.162420382166,5275.162420382166,3923.6666666666665,2366,7550,3673.0
12,900.0,300.0,3809.090656654808,3809.090656654808,3809.090656654808,3809.090656654808,208.66666666666666,117,352,203.5
33,200.0,200.0,44354.03259871442,8298.388888888889,107451.40909090907,8298.388888888889,532.5757575757576,140,3235,281.0
24,4000.0,1000.0,5254.143431431071,4915.651162790698,5275.162420382166,5275.162420382166,957.2083333333334,297,2747,604.0
14,30000.0,1000.0,614.4945168733644,0.0,2015.802030456853,0.0,16733.14285714286,13419,23075,16144.5
57,1200.0,200.0,4236.571682638209,1381.9339321400644,7468.122727272727,3003.4444444444453,1766.3684210526317,94,30177,597.0
30,12000.0,200.0,1818.1762679508874,0.0,3003.4444444444453,2015.802030456853,4874.333333333333,2329,8408,4195.5
24,80000.0,10000.0,6199.452946150527,1845.0427350427344,9738.765763936628,5275.162420382166,6785.208333333333,93,15500,6471.0
22,6000.0,1500.0,4785.891705069124,4785.891705069124,4785.891705069124,4785.891705069124,10587.40909090909,1234,30849,7969.0
23,400.0,200.0,4482.836910921577,3809.090656654808,5296.242821999982,3809.090656654808,506.39130434782606,102,1261,169.0
23,90000.0,3750.0,9263.713883194163,2413.538154696039,23686.86128364389,4605.8515582679975,17346.782608695652,4837,139692,6851.0
15,16000.0,500.0,4901.5534182875945,1975.2819939932187,6364.689130434783,6364.689130434783,12120.933333333332,1196,30351,4707.0
10,50000.0,500.0,3955.749658866479,3671.363636363637,3987.3481058112393,3987.3481058112393,17217.9,12955,29591,15896.5
22,36000.0,750.0,2961.452771287772,1975.2819939932187,3987.3481058112393,2416.6949782322567,2958.2727272727275,1114,7297,3247.0
1892,20.0,10.0,7914.727272727277,7914.727272727273,7914.727272727273,7914.727272727273,7635.032769556025,15,35657,5978.0
13,2400.0,500.0,3684.033324987487,2015.802030456853,3987.3481058112393,3987.3481058112393,10988.461538461539,4433,17210,11110.0
36,48000.0,4000.0,5206.441202371429,4915.651162790698,5275.162420382166,5226.847594637224,680.7777777777778,382,1401,613.5
78,2000.0,200.0,4915.638118907956,3003.4444444444453,5937.354838709676,5188.429075667328,2100.8205128205127,59,21782,1039.0
29,15000.0,1250.0,4376.534207903893,3671.363636363637,5275.162420382166,3987.3481058112393,3247.793103448276,185,10106,786.0
30,24000.0,4000.0,5157.388362432757,567.1926388291002,7423.285714285716,5226.847594637224,3225.5333333333333,120,39883,243.5
87,6000.0,200.0,8882.085866071031,0.0,12439.728,8338.42857142857,1678.3103448275863,216,5562,1432.0
35,5000.0,500.0,1993.2238704994852,287.5336322869955,5275.162420382166,497.76153091265945,2333.6285714285714,345,20870,1772.0
7,4800.0,150.0,2461.7668583742634,0.0,2872.061334769974,2872.061334769974,9777.0,3058,22454,7597.0
14,90000.0,7500.0,9434.023768472895,1845.0427350427344,15053.125,9738.765763936628,2249.0714285714284,137,4235,2279.5
68,60000.0,5000.0,7036.541968891244,2155.8349514563106,23064.17219037934,5058.211820812347,11251.485294117647,957,52967,3471.5
37,3600.0,150.0,2107.3866796692178,542.8506097560977,3003.4444444444453,2724.4435767195764,7825.675675675676,733,21347,1732.0
24,40000.0,10000.0,6141.547520957989,1845.0427350427344,9738.765763936628,5226.847594637224,11043.541666666666,2888,67526,5532.0
12,9000.0,225.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,5150.833333333333,4057,7727,4826.5
87,20000.0,1250.0,4708.613539898539,3671.363636363637,5275.162420382166,5275.162420382166,9729.574712643678,274,35744,2791.0
38,16800.0,700.0,5922.857429837902,3003.4444444444453,10819.736842105263,5188.429075667328,4261.3421052631575,82,10706,3466.5
77,3000.0,250.0,5141.326190590503,2447.736021300875,7468.122727272727,5330.531936555568,9698.35064935065,54,49769,3948.0
14,1600.0,800.0,3684.7782860033485,2723.386875612145,4024.6078431372553,3809.090656654808,2114.785714285714,124,26251,167.5
37,17400.0,725.0,3003.4444444444443,3003.4444444444453,3003.4444444444453,3003.4444444444453,10222.648648648648,5472,24650,8982.0
29,19200.0,3200.0,7366.043885218947,1845.0427350427344,10395.307692307691,6364.689130434783,4276.413793103448,255,27953,910.0
40,15600.0,650.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,4798.9,3074,12999,4605.0
63,21600.0,900.0,4134.484321931424,3003.4444444444453,10395.307692307691,3003.4444444444453,8600.460317460318,93,19188,8299.0
9,22200.0,925.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,13383.888888888889,12203,15373,13305.0
6,18600.0,775.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,9603.666666666666,7584,16206,8528.5
37,4000.0,2000.0,6315.525398731288,2413.538154696039,23686.86128364389,4605.8515582679975,16830.837837837837,82,93451,14059.0
25,60000.0,7500.0,6513.671516812589,1584.7093596059117,9738.765763936628,5275.162420382166,11605.32,991,27798,7299.0
14,21000.0,875.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,7468.071428571428,2954,18034,7307.5
82,600.0,400.0,4285.742915686305,459.9520682187679,7975.916666666668,2500.6492537313434,13560.414634146342,44,133556,502.0
36,1800.0,200.0,2303.3735968417045,1429.082191780822,4576.53125,1429.082191780822,18851.722222222223,22,65256,7659.5
14,48000.0,2000.0,3923.9491069825494,3671.363636363637,4363.7,3987.3481058112393,13892.57142857143,1114,24755,17490.5
19,36000.0,1500.0,3718.2861828592554,3003.4444444444453,5275.162420382166,3003.4444444444453,14578.947368421053,5958,25437,12788.0
4,11400.0,475.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,1704.0,1426,1981,1704.5
10,16200.0,675.0,3003.4444444444453,3003.4444444444453,3003.4444444444453,3003.4444444444453,7330.1,1629,12814,7225.5
14,4800.0,100.0,2006.811492867436,1975.2819939932187,2416.6949782322567,1975.2819939932187,6356.142857142857,5044,7747,6149.0
16,21000.0,3500.0,3951.6230111766117,3671.363636363637,4363.7,3987.3481058112393,14970.3125,13356,18659,14564.5
6,21000.0,1750.0,3987.348105811239,3987.3481058112393,3987.3481058112393,3987.3481058112393,15588.333333333334,13681,17308,15593.5
14,36600.0,1525.0,3757.768068454226,2661.543731778426,4214.825716533663,4214.825716533663,7346.785714285715,5385,9188,7415.0
45,40000.0,1250.0,2661.3090371829953,2520.754789272031,2886.1515423242467,2691.0274864989224,17368.066666666666,5138,84312,9352.0
10,5000.0,1250.0,6364.689130434783,6364.689130434783,6364.689130434783,6364.689130434783,5223.3,2465,25143,3019.5
111,2000.0,500.0,4430.708623369984,1309.6846153846152,5275.162420382166,4785.891705069124,7785.063063063063,39,65522,95.0
11,500.0,125.0,6364.689130434782,6364.689130434783,6364.689130434783,6364.689130434783,11645.727272727272,9324,15831,10959.0
12,12000.0,4000.0,5161.127193111827,4915.651162790698,5275.162420382166,5226.847594637224,2263.6666666666665,608,12407,790.5
21,15000.0,1500.0,477.73982628164384,287.5336322869955,497.76153091265945,497.76153091265945,10614.285714285714,4503,23692,7557.0
2,8400.0,1400.0,1927.769536853139,1328.3815789473686,2527.1574947589097,1927.769536853139,21415.0,1046,41784,21415.0
89,50.0,500.0,3718.9176545492674,2515.78715765141,4462.67105263158,4462.67105263158,3474.112359550562,78,13370,752.0
29,1000.0,1000.0,5481.3146318158015,681.1876019575858,6652.039251650769,5161.531389026199,362.8965517241379,48,1018,322.0
1250,100.0,25.0,7917.88719090909,7914.727272727273,11864.625,7914.727272727273,1461.8816,63,12742,1016.5
9,20000.0,300.0,3987.3481058112393,3987.3481058112393,3987.3481058112393,3987.3481058112393,9191.0,4720,14066,8889.0
146,16000.0,1000.0,5889.143874443459,0.0,24519.10462287105,4785.891705069124,1469.8835616438357,97,79183,381.0
24,9000.0,300.0,2724.4435767195764,2724.4435767195764,2724.4435767195764,2724.4435767195764,2136.25,1419,3682,2017.5
13,24000.0,3000.0,6884.744907642393,3987.3481058112393,10395.307692307691,6364.689130434783,964.4615384615385,88,7251,145.0
11,24000.0,1000.0,5059.574025974026,3089.814285714285,7423.285714285716,3089.814285714285,2655.2727272727275,33,5848,4054.0
36,50000.0,1250.0,3934.6840275699733,3671.363636363637,3987.3481058112393,3987.3481058112393,2201.8888888888887,107,68694,264.5
11,120000.0,5000.0,5839.052943380887,5226.847594637224,7423.285714285716,5275.162420382166,4033.6363636363635,61,8495,4568.0
12,2600.0,100.0,6517.072584159109,6134.7058823529405,8428.906093189964,6134.7058823529405,27333.25,1452,125052,3352.5
12,4200.0,175.0,1396.6417333955935,1396.6417333955935,1396.6417333955935,1396.6417333955935,2267.0,325,6085,336.0
29,12000.0,750.0,5273.496391908202,5226.847594637224,5275.162420382166,5275.162420382166,2530.8275862068967,208,7329,2199.0
6,2000.0,400.0,2075.487452732898,2075.487452732898,2075.487452732898,2075.487452732898,8627.333333333334,7980,9608,8581.5
32,1800.0,400.0,3323.594478989132,2515.78715765141,4024.6078431372553,3809.090656654808,15063.9375,34,54997,1496.5
14,6000.0,90.0,5454.340516329902,5188.429075667328,7049.809160305344,5188.429075667328,6842.642857142857,5398,8684,7021.0
68,8000.0,500.0,4863.069516294238,0.0,7468.122727272727,5275.162420382166,24206.264705882353,76,107401,11949.5
8,3600.0,300.0,3134.2693498452013,3134.2693498452013,3134.2693498452013,3134.2693498452013,3502.75,2273,8464,2856.0
9,30000.0,1500.0,4899.610326548675,3089.814285714285,19377.9786532238,3089.814285714285,6733.111111111111,1601,32046,3394.0
53,16000.0,2000.0,13828.887400557735,6364.689130434783,23686.86128364389,6633.896381578948,24678.037735849055,98,72677,2536.0
22,5000.0,250.0,2691.0274864989215,2691.0274864989224,2691.0274864989224,2691.0274864989224,13579.818181818182,10183,19414,12727.0
12,80000.0,4000.0,5225.071971522484,4915.651162790698,5275.162420382166,5251.005007509695,1773.5833333333333,1391,2463,1686.5
11,10800.0,600.0,7512.895511153606,6364.689130434783,10395.307692307691,6364.689130434783,1630.090909090909,190,10593,588.0
12,16000.0,4000.0,8133.84928159655,6364.689130434783,10395.307692307691,6633.896381578948,5318.833333333333,83,24979,2407.0
24,19200.0,800.0,4295.7678637588115,2025.220680628272,6633.896381578948,4785.891705069124,3918.2083333333335,847,11870,1935.0
16,1800.0,15.0,10312.498579545454,7468.122727272727,15053.125,7468.122727272727,23083.4375,485,96016,13826.0
17,10000.0,5000.0,5206.035160131326,4915.651162790698,5275.162420382166,5275.162420382166,24198.647058823528,2600,76737,7651.0
10,21600.0,1200.0,3323.6278669628277,3191.56338028169,3455.6923536439663,3323.627866962828,90.8,42,249,61.0
12,5400.0,225.0,2724.443576719576,2724.4435767195764,2724.4435767195764,2724.4435767195764,14821.333333333334,12316,17441,14943.0
40,24000.0,2000.0,3576.6794298561263,2520.754789272031,19377.9786532238,2691.0274864989224,8604.675,682,51605,4230.5
15,84000.0,3500.0,3153.025773496183,1457.219976103594,4785.891705069124,2771.272966048553,55376.53333333333,11085,166182,19307.0
11,52000.0,2000.0,5698.387626156834,3512.815249266863,10856.285714285714,3512.815249266863,9708.90909090909,7281,12576,9713.0
