n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,time_instant,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw
4,20,2526,10.691229581832886,1.0,48.0,1.0,6,0,2,300.0,197811029.5,275.0,770.0,0,1800.0,2677469723.77,4040.0,9240.0,0,101313.89,400000000000,35818.22,129306.22,0,6,6,12.0,35773007.05,35772814.55,192.5,476507197.39,476504887.39,2310.0,100000000000,99999968014.0,31986.0,6,12.0,52062689.01,52062496.51,192.5,627047389.35,627045079.35,2310.0,100000000000,99999968014.0,31986.0,6,12.0,40442200.02,40442007.52,192.5,712360611.47,712358301.47,2310.0,100000000000,99999966651.78,33348.22,6,12.0,69533133.42,69532940.92,192.5,861554525.56,861552215.56,2310.0,100000000000,99999968014.0,31986.0
4,20,5232,10.666181087493896,1.0,48.0,1.0,6,0,3,300.0,197811029.5,460.0,785.0,0,1800.0,2677469723.77,5200.0,10240.0,0,101313.89,400000000000,27963.47,185233.14,0,6,6,12.0,35773007.05,35772810.8,196.25,476507197.39,476504637.39,2560.0,100000000000,99999954032.27,45967.73,6,12.0,52062689.01,52062492.76,196.25,627047389.35,627044829.35,2560.0,100000000000,99999954032.27,45967.73,6,12.0,40442200.02,40442003.77,196.25,712360611.47,712358051.47,2560.0,100000000000,99999952670.05,47329.95,6,12.0,69533133.42,69532937.17,196.25,861554525.56,861551965.56,2560.0,100000000000,99999954032.27,45967.73
4,20,8164,10.236014604568481,1.0,16.0,1.0,2,0,4,300.0,197811029.5,200.0,825.0,0,1800.0,2677469723.77,2400.0,11020.0,0,101313.89,400000000000,9378.43,203989.99,0,2,2,4.0,35773007.05,35772800.8,206.25,476507197.39,476504442.39,2755.0,100000000000,99999949343.06,50656.94,2,4.0,52062689.01,52062482.76,206.25,627047389.35,627044634.35,2755.0,100000000000,99999949343.06,50656.94,2,4.0,40442200.02,40441993.77,206.25,712360611.47,712357856.47,2755.0,100000000000,99999947980.83,52019.17,2,4.0,69533133.42,69532927.17,206.25,861554525.56,861551770.56,2755.0,100000000000,99999949343.06,50656.94
4,20,11120,5.011714935302734,1.0,0,1,0,0,5,300.0,197811029.5,0,550.0,0,1800.0,2677469723.77,0,6400.0,0,101313.89,400000000000,0,203989.99,0,0,0,0,35773007.05,35772869.55,137.5,476507197.39,476505597.39,1600.0,100000000000,99999949343.06,50656.94,0,0,52062689.01,52062551.51,137.5,627047389.35,627045789.35,1600.0,100000000000,99999949343.06,50656.94,0,0,40442200.02,40442062.52,137.5,712360611.47,712359011.47,1600.0,100000000000,99999947980.83,52019.17,0,0,69533133.42,69532995.92,137.5,861554525.56,861552925.56,1600.0,100000000000,99999949343.06,50656.94
4,20,14096,15.035897731781006,1.0,0,1,0,0,6,300.0,197811029.5,0,100.0,0,1800.0,2677469723.77,0,1800.0,0,101313.89,400000000000,0,203989.99,0,0,0,0,35773007.05,35772982.05,25.0,476507197.39,476506747.39,450.0,100000000000,99999949343.06,50656.94,0,0,52062689.01,52062664.01,25.0,627047389.35,627046939.35,450.0,100000000000,99999949343.06,50656.94,0,0,40442200.02,40442175.02,25.0,712360611.47,712360161.47,450.0,100000000000,99999947980.83,52019.17,0,0,69533133.42,69533108.42,25.0,861554525.56,861554075.56,450.0,100000000000,99999949343.06,50656.94
4,20,0,8.821487426757812e-05,1.0,0,1,0,0,0,400.0,272128528.19,0,0,0,6000.0,1624827105.9499998,0,0,0,106270.19,400000000000,0,0,0,0,0,0,36134777.49,36134777.49,0,482000398.01,482000398.01,0,100000000000,100000000000,0,0,0,97081165.6,97081165.6,0,437697407.07,437697407.07,0,100000000000,100000000000,0,0,0,52881570.27,52881570.27,0,397593539.39,397593539.39,0,100000000000,100000000000,0,0,0,86031014.83,86031014.83,0,307535761.48,307535761.48,0,100000000000,100000000000,0
4,20,970,10.678684711456299,1.0,48.0,1.0,6,0,1,400.0,272128528.19,685.0,685.0,0,6000.0,1624827105.9499998,8420.0,8420.0,0,106270.19,400000000000,30200.28,60400.56,0,6,6,12.0,36134777.49,36134606.24,171.25,482000398.01,481998293.01,2105.0,100000000000,99999984899.86,15100.14,6,12.0,97081165.6,97080994.35,171.25,437697407.07,437695302.07,2105.0,100000000000,99999984899.86,15100.14,6,12.0,52881570.27,52881399.02,171.25,397593539.39,397591434.39,2105.0,100000000000,99999984899.86,15100.14,6,12.0,86031014.83,86030843.58,171.25,307535761.48,307533656.48,2105.0,100000000000,99999984899.86,15100.14
4,20,2816,10.645946502685547,1.0,48.0,1.0,6,0,2,400.0,272128528.19,560.0,1245.0,0,6000.0,1624827105.9499998,9000.0,17420.0,0,106270.19,400000000000,34443.32,129287.2,0,6,6,12.0,36134777.49,36134466.24,311.25,482000398.01,481996043.01,4355.0,100000000000,99999967678.2,32321.8,6,12.0,97081165.6,97080854.35,311.25,437697407.07,437693052.07,4355.0,100000000000,99999967678.2,32321.8,6,12.0,52881570.27,52881259.02,311.25,397593539.39,397589184.39,4355.0,100000000000,99999967678.2,32321.8,6,12.0,86031014.83,86030703.58,311.25,307535761.48,307531406.48,4355.0,100000000000,99999967678.2,32321.8
4,20,5636,10.645991325378418,1.0,48.0,1.0,6,0,3,400.0,272128528.19,425.0,1135.0,0,6000.0,1624827105.9499998,3200.0,14600.0,0,106270.19,400000000000,33651.89,196590.96,0,6,6,12.0,36134777.49,36134493.74,283.75,482000398.01,481996748.01,3650.0,100000000000,99999950852.26,49147.74,6,12.0,97081165.6,97080881.85,283.75,437697407.07,437693757.07,3650.0,100000000000,99999950852.26,49147.74,6,12.0,52881570.27,52881286.52,283.75,397593539.39,397589889.39,3650.0,100000000000,99999950852.26,49147.74,6,12.0,86031014.83,86030731.08,283.75,307535761.48,307532111.48,3650.0,100000000000,99999950852.26,49147.74
4,20,0,0.00010323524475097656,1.0,0,1,0,0,0,300.0,96566454.33,0,0,0,7200.0,2306061112.81,0,0,0,114451.42,400000000000,0,0,0,0,0,0,34526377.21,34526377.21,0,734283956.78,734283956.78,0,100000000000,100000000000,0,0,0,31563262.58,31563262.58,0,544598221.82,544598221.82,0,100000000000,100000000000,0,0,0,10491129.9,10491129.9,0,456199430.54,456199430.54,0,100000000000,100000000000,0,0,0,19985684.64,19985684.64,0,570979503.67,570979503.67,0,100000000000,100000000000,0
