,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node
275,275,0,50,600,1.0,235,1ccc18d7d13073b642b3a016,0,3dc292173c00d31e1d6319863d45c2f4,T4,4,386.0,215.0,215.0,3003.4444444444453,945.6428571428572,1,152750,0,0,-1,"[50, 600]",
279,279,0,50,600,1.0,215,1ccc18d7d13073b642b3a016,0,05142f828519e1848cd42d62c7778483,T4,3,386.0,225.0,225.0,3003.4444444444453,945.6428571428572,1,139750,0,0,-1,"[50, 600]",
283,283,0,50,600,1.0,235,1ccc18d7d13073b642b3a016,0,8c9c489d136982329a90eeff05953aaa,T4,3,386.0,224.0,224.0,3003.4444444444453,945.6428571428572,1,152750,0,0,-1,"[50, 600]",
284,284,0,50,600,1.0,245,1ccc18d7d13073b642b3a016,0,b081ee9127590b0477192a95dc79f1ed,T4,3,386.0,240.5,240.5,3003.4444444444453,945.6428571428572,1,159250,0,0,-1,"[50, 600]",
292,292,0,50,600,1.0,2076,1ccc18d7d13073b642b3a016,0,3e16132ad0cac3452ca06689d26e135d,T4,1863,386.0,215.0,215.0,3003.4444444444453,945.6428571428572,1,1349400,0,0,-1,"[50, 600]",
454,454,0,1000,12000,20.0,795,1ccc18d7d13073b642b3a016,0,8a88dbdc288724c4a95697883e2808fd,T4,3,386.0,795.0,795.0,3003.4444444444453,945.6428571428572,1,10335000,0,0,-1,"[1000, 12000]",
609,609,1,100,1000,1.0,4989,51b6f00b1d81d3a5ddd582ab,0,d47afdc2f543be90b5a42eb229f6553b,MISC,4687,1310.0,1110.0,1046.5,6394.756990820136,3066.124257021609,1,5487900,0,0,-1,"[100, 1000]",
1069,1069,2,50,600,1.0,990,0381d6db958250b056960f1d,0,f5a8f8a39a3cd0aae00058d7a648b5f1,T4,3,3123.5,844.5,853.5,7468.122727272727,1580.344647545628,1,643500,0,0,-1,"[50, 600]",
1286,1286,3,1000,12000,20.0,36456,36dee9eabb9570587bc26052,0,d02b0f0332a141b720782472f46583ab,MISC,101,3051.0,5059.5,4244.5,5330.531936555568,19509.364041408466,1,473928000,0,0,-1,"[1000, 12000]",
1360,1360,4,50,600,1.0,1813,d894fd1af131ed7a296716b5,0,e90d6d7d68b3fbed236c9391725cee84,MISC,7,345.0,2570.0,2241.0,7914.727272727273,995.821870701513,1,1178450,0,0,-1,"[50, 600]",
1376,1376,5,1000,10000,10.0,84,d31da220e964fb2f1ace98f6,0,9e0895877d331106a40b2c06839bf479,MISC,13,1167.5,138.0,94.5,3191.56338028169,2719.064516129032,1,924000,0,0,-1,"[1000, 10000]",
1378,1378,4,50,600,1.0,1507,d894fd1af131ed7a296716b5,0,3779b600aec87bb53a7016a7e0cbc978,MISC,10,345.0,1990.0,1990.0,7914.727272727273,995.821870701513,1,979550,0,0,-1,"[50, 600]",
1379,1379,0,1000,12000,20.0,4394,1ccc18d7d13073b642b3a016,0,87ff629a24f27828dde08636ba13e5f9,T4,3,386.0,4394.0,4394.0,3003.4444444444453,945.6428571428572,1,57122000,0,0,-1,"[1000, 12000]",
1397,1397,4,50,600,1.0,1657,d894fd1af131ed7a296716b5,0,c69e054255df532b4885852192347e6e,MISC,13,345.0,2537.0,2537.0,7914.727272727273,995.821870701513,1,1077050,0,0,-1,"[50, 600]",
1465,1465,6,50,600,1.0,30282,8ccb9c9fe88b53537e096dd9,0,83c0de2821d4126b5311080728711240,MISC,10,7180.0,29889.0,30077.0,1975.2819939932187,1470.2898442789435,1,19683300,0,0,-1,"[50, 600]",
1746,1746,4,50,600,1.0,1948,d894fd1af131ed7a296716b5,0,8a26629e996c99ebb3b05532c2c0b27f,MISC,5,345.0,3138.0,3264.5,7914.727272727273,995.821870701513,1,1266200,0,0,-1,"[50, 600]",
1824,1824,6,50,600,1.0,10832,8ccb9c9fe88b53537e096dd9,0,3b3a9a3e689e54acb4a58736a447d6af,MISC,13,7180.0,10576.5,10642.0,1975.2819939932187,1470.2898442789435,1,7040800,0,0,-1,"[50, 600]",
1955,1955,0,500,6000,10.0,85,1ccc18d7d13073b642b3a016,0,406c0a933597ad0aa055c1c8669ef652,T4,3,386.0,82.0,82.0,3003.4444444444453,945.6428571428572,1,552500,0,0,-1,"[500, 6000]",
1956,1956,0,500,6000,10.0,83,1ccc18d7d13073b642b3a016,0,7e4a6848445c8ee7d92141b2159394f6,T4,3,386.0,82.0,82.0,3003.4444444444453,945.6428571428572,1,539500,0,0,-1,"[500, 6000]",
