alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,79147,9041,89,79147,751,99,79147,4713,94,79147,870,99,79147,-19400,125,79147,-780,101,79147,-17426,122,79147,2068,97,79147,-14825,119,79147,-4915,106,79147,-148392,287,79147,-127753,261,79147,-75971,196,79147,-55798,170,79147,-215135,372
0.0,79147,-22839,129,79147,-17046,122,79147,-8967,111,79147,-8647,111,79147,-16704,121,79147,6612,92,79147,2427,97,79147,-16100,120,79147,-11075,114,79147,-1682,102,79147,-170044,315,79147,-132139,267,79147,-77773,198,79147,-77808,198,79147,-254170,421
0.0,79147,-17002,121,79147,7932,90,79147,-9099,111,79147,-14968,119,79147,2049,97,79147,-7998,110,79147,-2175,103,79147,1008,99,79147,2097,97,79147,-18746,124,79147,-115535,246,79147,-137272,273,79147,-85306,208,79147,-85133,208,79147,-216319,373
0.0,79147,6879,91,79147,-4771,106,79147,-3617,105,79147,-20263,126,79147,-14157,118,79147,-1668,102,79147,-12156,115,79147,-30410,138,79147,811,99,79147,-9550,112,79147,-134821,270,79147,-108551,237,79147,-71695,191,79147,-110003,239,79147,-193044,344
0.0,79147,7952,90,79147,-21150,127,79147,5516,93,79147,-20982,127,79147,-10751,114,79147,-3575,105,79147,-9563,112,79147,8262,90,79147,346,100,79147,2339,97,79147,-139189,276,79147,-132519,267,79147,-64961,182,79147,-83560,206,79147,-199222,352
0.0,79147,-6914,109,79147,-14664,119,79147,1905,98,79147,-4784,106,79147,-11272,114,79147,-8645,111,79147,-14328,118,79147,-524,101,79147,-6302,108,79147,-13631,117,79147,-127574,261,79147,-131075,266,79147,-88566,212,79147,-66409,184,79147,-192822,344
0.0,79147,-8011,110,79147,3825,95,79147,-7016,109,79147,-300,100,79147,-5386,107,79147,-7417,109,79147,9471,88,79147,-8067,110,79147,-3893,105,79147,6664,92,79147,-141779,279,79147,-130276,265,79147,-72705,192,79147,-87514,211,79147,-251945,418
0.0,79147,-648,101,79147,-11652,115,79147,-7382,109,79147,5675,93,79147,5470,93,79147,-1479,102,79147,2681,97,79147,9034,89,79147,-2225,103,79147,2137,97,79147,-112378,242,79147,-133818,269,79147,-75934,196,79147,-58106,173,79147,-188593,338
0.0,63370,-384,101,63370,-1017,102,63370,-10253,116,63370,7033,89,63370,-1899,103,63370,5032,92,63370,5209,92,63370,-3459,105,63370,87,100,63370,-2958,105,63370,-110794,275,63370,-95730,251,63370,-55395,187,63370,-56879,190,63370,-157946,349
0.0,79147,7130,91,79147,-4872,106,79147,-13333,117,79147,-7091,109,79147,7073,91,79147,-16754,121,79147,3218,96,79147,311,100,79147,3745,95,79147,-92,100,79147,-105794,234,79147,-123303,256,79147,-79442,200,79147,-70301,189,79147,-180726,328
0.0,79147,-13899,118,79147,-25036,132,79147,3025,96,79147,-937,101,79147,2111,97,79147,-6396,108,79147,286,100,79147,-11390,114,79147,-11756,115,79147,4950,94,79147,-158947,301,79147,-156442,298,79147,-55199,170,79147,-72921,192,79147,-227872,388
0.5,79147,-36,100,79147,4532,94,79147,6003,92,79147,1394,98,79147,2025,97,79147,3701,95,79147,5375,93,79147,2270,97,79147,3040,96,79147,3109,96,79147,-109824,239,79147,-125511,259,79147,-52894,167,79147,-64652,182,79147,-179294,327
0.5,79147,4844,94,79147,7869,90,79147,2116,97,79147,3732,95,79147,541,99,79147,5966,92,79147,4907,94,79147,7558,90,79147,2014,97,79147,2833,96,79147,-123074,255,79147,-108517,237,79147,-49613,163,79147,-60681,177,79147,-170189,315
0.5,79147,2632,97,79147,2797,96,79147,-3140,104,79147,4411,94,79147,483,99,79147,-1499,102,79147,2891,96,79147,7625,90,79147,3713,95,79147,6498,92,79147,-110166,239,79147,-115190,246,79147,-75588,196,79147,-52865,167,79147,-174670,321
0.5,53911,853,98,53911,5867,89,53911,4102,92,53911,812,98,53911,6728,88,53911,9196,83,53911,6634,88,53911,3442,94,53911,7160,87,53911,4476,92,53911,-89093,265,53911,-55429,203,53911,-28270,152,53911,-33767,163,53911,-115666,315
